x,y,z,qw,qx,qy,qz
0.37166,-0.32794,0.24566,0.50540306,-0.49933302,0.495763,0.49945302
0.37166,-0.32794004,0.24566,0.50540307,-0.49933301,0.49576299,0.49945304
0.37166,-0.32794016,0.24566002,0.50540309,-0.49933298,0.49576297,0.49945307
0.37166001,-0.32794037,0.24566004,0.50540314,-0.49933292,0.49576293,0.49945312
0.37166002,-0.32794065,0.24566007,0.50540319,-0.49933284,0.49576287,0.4994532
0.37166002,-0.32794101,0.24566012,0.50540327,-0.49933274,0.4957628,0.4994533
0.37166003,-0.32794145,0.24566017,0.50540336,-0.49933262,0.49576271,0.49945342
0.37166004,-0.32794197,0.24566023,0.50540347,-0.49933247,0.4957626,0.49945356
0.37166005,-0.32794256,0.2456603,0.50540359,-0.49933231,0.49576248,0.49945372
0.37166007,-0.32794322,0.24566038,0.50540374,-0.49933212,0.49576234,0.4994539
0.37166008,-0.32794396,0.24566046,0.50540389,-0.49933191,0.49576219,0.49945411
0.37166009,-0.32794478,0.24566056,0.50540407,-0.49933167,0.49576202,0.49945433
0.37166011,-0.32794566,0.24566067,0.50540426,-0.49933142,0.49576184,0.49945458
0.37166012,-0.32794662,0.24566078,0.50540446,-0.49933114,0.49576164,0.49945485
0.37166013,-0.32794765,0.24566091,0.50540468,-0.49933084,0.49576142,0.49945513
0.37166015,-0.32794874,0.24566104,0.50540492,-0.49933052,0.49576119,0.49945544
0.37166016,-0.32794991,0.24566118,0.50540517,-0.49933018,0.49576094,0.49945577
0.37166017,-0.32795114,0.24566133,0.50540544,-0.49932982,0.49576068,0.49945613
0.37166019,-0.32795244,0.24566149,0.50540573,-0.49932943,0.4957604,0.4994565
0.3716602,-0.32795381,0.24566166,0.50540603,-0.49932903,0.4957601,0.49945689
0.37166021,-0.32795524,0.24566184,0.50540635,-0.4993286,0.49575979,0.49945731
0.37166022,-0.32795673,0.24566203,0.50540668,-0.49932815,0.49575947,0.49945774
0.37166023,-0.32795829,0.24566223,0.50540703,-0.49932768,0.49575913,0.49945819
0.37166023,-0.32795991,0.24566243,0.50540739,-0.49932719,0.49575877,0.49945867
0.37166024,-0.32796159,0.24566264,0.50540777,-0.49932668,0.4957584,0.49945916
0.37166024,-0.32796333,0.24566287,0.50540816,-0.49932615,0.49575802,0.49945968
0.37166024,-0.32796513,0.2456631,0.50540857,-0.4993256,0.49575762,0.49946022
0.37166024,-0.32796699,0.24566334,0.505409,-0.49932502,0.4957572,0.49946077
0.37166024,-0.32796891,0.24566359,0.50540944,-0.49932443,0.49575677,0.49946135
0.37166024,-0.32797088,0.24566385,0.50540989,-0.49932381,0.49575632,0.49946195
0.37166023,-0.32797291,0.24566411,0.50541036,-0.49932318,0.49575586,0.49946256
0.37166022,-0.327975,0.24566439,0.50541085,-0.49932252,0.49575539,0.4994632
0.37166021,-0.32797714,0.24566468,0.50541135,-0.49932185,0.4957549,0.49946385
0.3716602,-0.32797933,0.24566497,0.50541186,-0.49932115,0.4957544,0.49946453
0.37166018,-0.32798158,0.24566527,0.50541239,-0.49932043,0.49575388,0.49946523
0.37166016,-0.32798388,0.24566558,0.50541294,-0.4993197,0.49575334,0.49946594
0.37166013,-0.32798622,0.2456659,0.5054135,-0.49931894,0.49575279,0.49946668
0.37166011,-0.32798862,0.24566623,0.50541407,-0.49931816,0.49575223,0.49946743
0.37166008,-0.32799107,0.24566656,0.50541466,-0.49931736,0.49575166,0.49946821
0.37166004,-0.32799357,0.24566691,0.50541526,-0.49931654,0.49575106,0.499469
0.37166,-0.32799611,0.24566726,0.50541588,-0.49931571,0.49575046,0.49946982
0.37165996,-0.3279987,0.24566762,0.50541651,-0.49931485,0.49574984,0.49947065
0.37165992,-0.32800133,0.245668,0.50541716,-0.49931397,0.4957492,0.4994715
0.37165987,-0.32800402,0.24566837,0.50541782,-0.49931308,0.49574856,0.49947237
0.37165982,-0.32800674,0.24566876,0.50541849,-0.49931216,0.49574789,0.49947326
0.37165976,-0.32800951,0.24566916,0.50541918,-0.49931122,0.49574722,0.49947417
0.3716597,-0.32801232,0.24566956,0.50541989,-0.49931027,0.49574653,0.4994751
0.37165963,-0.32801517,0.24566998,0.5054206,-0.49930929,0.49574582,0.49947605
0.37165956,-0.32801806,0.2456704,0.50542133,-0.4993083,0.49574511,0.49947702
0.37165949,-0.32802099,0.24567083,0.50542208,-0.49930728,0.49574437,0.499478
0.37165941,-0.32802397,0.24567126,0.50542284,-0.49930625,0.49574363,0.49947901
0.37165932,-0.32802698,0.24567171,0.50542361,-0.4993052,0.49574287,0.49948003
0.37165923,-0.32803002,0.24567217,0.5054244,-0.49930413,0.49574209,0.49948107
