epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.06135,1.82476,4.40425,2.79668,0.00296,1,0.20476,0.09129,1.26708,3.30065,2.74966,4e-05,4e-05,4e-05
2,2.25665,1.87343,4.30748,2.97787,0.00296,1,0.20737,0.09169,1.20334,3.30317,2.68146,9.802e-05,9.802e-05,9.802e-05
3,2.61604,1.44277,3.92375,2.33997,0.00296,1,0.62091,0.30168,1.1982,3.24277,2.54862,0.000153664,0.000153664,0.000153664
4,3.34925,0.83641,2.88584,1.60732,0.00296,1,0.87056,0.52543,0.95929,3.20244,2.01976,0.000206932,0.000206932,0.000206932
5,3.61547,0.58231,2.06538,1.20874,0.00296,1,0.995,0.62183,0.87969,3.02319,1.88942,0.000257824,0.000257824,0.000257824
6,3.97253,0.55473,1.86658,1.15912,0.00296,1,0.83485,0.53158,0.8957,3.04476,1.95318,0.00030634,0.00030634,0.00030634
7,4.24951,0.49835,1.8047,1.08221,0.00525,1,0.94602,0.57841,0.92155,3.01507,2.12312,0.00035248,0.00035248,0.00035248
8,4.52053,0.36658,1.66397,0.89588,0.40844,1,0.995,0.62447,0.96883,3.00661,2.22749,0.000396244,0.000396244,0.000396244
9,4.77242,0.40571,1.57296,0.93081,1,0.55085,0.995,0.65206,0.99588,2.92937,2.31049,0.000437632,0.000437632,0.000437632
10,5.04038,0.37875,1.45683,0.88263,1,0.54597,0.995,0.58228,1.0847,2.88251,2.87136,0.000476644,0.000476644,0.000476644
11,5.53268,0.34469,1.45959,0.83849,1,0.4928,0.91477,0.56955,0.99695,2.99314,2.5155,0.00051328,0.00051328,0.00051328
12,5.76901,0.26487,1.35551,0.77469,0.80247,0.50927,0.91477,0.58163,1.00853,2.95413,2.32489,0.00054754,0.00054754,0.00054754
13,6.00752,0.26596,1.28877,0.77103,1,0.6061,0.995,0.65055,1.09318,2.68539,2.96471,0.000579424,0.000579424,0.000579424
14,6.24368,0.288,1.23463,0.76706,1,0.61033,0.995,0.6104,1.06481,2.66832,2.91776,0.000608932,0.000608932,0.000608932
15,6.46634,0.29805,1.22618,0.78867,0.9978,0.875,0.971,0.62562,1.18384,2.69529,3.08987,0.000636064,0.000636064,0.000636064
16,6.69693,0.23937,1.17713,0.74435,1,0.70647,0.98167,0.62552,1.15437,2.67681,2.90967,0.00066082,0.00066082,0.00066082
17,6.95298,0.233,1.15642,0.74058,0.94073,1,0.995,0.54827,1.32327,2.56789,3.09075,0.0006832,0.0006832,0.0006832
18,7.1691,0.21049,1.07444,0.71972,0.88302,1,0.995,0.56761,1.18412,2.56292,2.8606,0.000703204,0.000703204,0.000703204
19,7.38988,0.18023,1.0734,0.67188,0.97327,1,0.995,0.65428,1.02631,2.43143,2.86931,0.000720832,0.000720832,0.000720832
20,7.61866,0.17431,1.04504,0.67497,0.9551,1,0.995,0.66493,1.15633,2.32171,3.36791,0.000736084,0.000736084,0.000736084
21,7.8417,0.17606,0.96381,0.67609,0.85652,1,0.95389,0.63162,1.1504,2.32935,3.21605,0.00074896,0.00074896,0.00074896
22,8.05321,0.16499,0.94375,0.67627,0.84933,1,0.93944,0.60291,1.15166,2.31784,2.87624,0.00075946,0.00075946,0.00075946
23,8.26829,0.13084,0.88915,0.64413,0.88359,0.95232,0.98167,0.68922,1.03294,2.34715,2.55201,0.000767584,0.000767584,0.000767584
24,8.49895,0.13574,0.85954,0.63465,0.91877,0.875,0.971,0.71966,0.9384,2.16096,2.42332,0.000773332,0.000773332,0.000773332
25,8.72978,0.12797,0.84119,0.64736,1,0.97301,0.995,0.70023,1.00979,2.07475,2.64181,0.000776704,0.000776704,0.000776704
26,8.94015,0.11763,0.81125,0.62888,0.96091,1,0.995,0.73861,0.94771,1.91009,2.37299,0.0007777,0.0007777,0.0007777
27,9.17011,0.11569,0.83557,0.62344,0.96837,1,0.995,0.72279,1.02199,1.89834,2.51094,0.00077632,0.00077632,0.00077632
28,9.38796,0.11855,0.787,0.63115,0.97542,1,0.995,0.74495,0.9557,1.70652,2.47196,0.000772564,0.000772564,0.000772564
29,9.60854,0.10748,0.7596,0.62873,0.97542,1,0.995,0.74495,0.9557,1.70652,2.47196,0.000766432,0.000766432,0.000766432
30,9.83821,0.11445,0.74752,0.63711,0.99274,1,0.995,0.75594,0.94557,1.43214,2.46449,0.000757924,0.000757924,0.000757924
31,10.0689,0.10898,0.71715,0.62766,0.99216,1,0.995,0.71296,1.0799,1.39454,2.55999,0.00074704,0.00074704,0.00074704
32,10.2867,0.10659,0.75633,0.62004,0.99603,1,0.995,0.7141,1.07896,1.43061,2.51983,0.00073378,0.00073378,0.00073378
33,10.4931,0.09184,0.68623,0.61973,0.99603,1,0.995,0.7141,1.07896,1.43061,2.51983,0.000718144,0.000718144,0.000718144
34,10.7092,0.09703,0.68369,0.62993,0.99886,1,0.995,0.76122,0.98857,1.47401,2.32573,0.0006932,0.0006932,0.0006932
35,10.9353,0.09878,0.70944,0.62379,0.99669,1,0.995,0.74949,0.91248,1.44647,2.24017,0.0006536,0.0006536,0.0006536
36,11.1375,0.09185,0.69729,0.61894,0.99487,1,0.995,0.72624,0.9608,1.32206,2.44373,0.000614,0.000614,0.000614
37,11.3399,0.08671,0.65585,0.60628,0.99487,1,0.995,0.72624,0.9608,1.32206,2.44373,0.0005744,0.0005744,0.0005744
38,11.553,0.08778,0.62924,0.6152,0.99377,1,0.995,0.71466,0.99605,1.22912,2.55513,0.0005348,0.0005348,0.0005348
39,11.7697,0.07957,0.61006,0.61524,0.99367,1,0.995,0.73846,0.96589,1.15616,2.4044,0.0004952,0.0004952,0.0004952
40,11.9873,0.07983,0.5983,0.61164,0.99367,1,0.995,0.72511,1.01381,1.12133,2.4587,0.0004556,0.0004556,0.0004556
41,15.1104,0.07433,0.59772,0.61232,0.99367,1,0.995,0.72511,1.01381,1.12133,2.4587,0.000416,0.000416,0.000416
42,15.3506,0.06755,0.58142,0.61186,0.99393,1,0.995,0.71476,1.0107,1.08322,2.49792,0.0003764,0.0003764,0.0003764
43,16.0093,0.06468,0.57459,0.60385,0.99416,1,0.995,0.71467,0.98334,1.06323,2.45135,0.0003368,0.0003368,0.0003368
44,16.6406,0.06278,0.57928,0.59586,0.99408,1,0.995,0.75315,0.97116,1.04071,2.38254,0.0002972,0.0002972,0.0002972
45,16.8583,0.06493,0.55903,0.60627,0.99408,1,0.995,0.75315,0.97116,1.04071,2.38254,0.0002576,0.0002576,0.0002576
46,17.2025,0.05936,0.54941,0.60294,0.9941,1,0.995,0.7531,0.96214,1.06026,2.2873,0.000218,0.000218,0.000218
47,17.4296,0.05204,0.55031,0.61112,0.99405,1,0.995,0.72873,0.97231,1.06251,2.26095,0.0001784,0.0001784,0.0001784
48,17.6468,0.05024,0.52755,0.60321,0.9941,1,0.995,0.73323,0.98673,1.04135,2.24824,0.0001388,0.0001388,0.0001388
49,18.1672,0.0459,0.52149,0.60364,0.9941,1,0.995,0.73323,0.98673,1.04135,2.24824,9.92e-05,9.92e-05,9.92e-05
50,18.3897,0.04585,0.55744,0.60491,0.99409,1,0.995,0.7106,0.99173,1.03258,2.23009,5.96e-05,5.96e-05,5.96e-05
